Sample,Notebook Page,Selected Metal,Cobalt Acetate Co(C2H3O2)2 Mass (g),Zinc Acetate Zn(CH3CO2)2 Mass (g),Citric Acid HOC(CO2H)(CH2CO2H)2 Mass (g),Potassium Hydroxide KOH Mass (g),Water Volume (ml),Ethanol EtOH Volume (ml),Synthesis Time (hr),Monolith?,"Monolith Transparency
Clear - Glass-looking
Cloudy - White-colored","Hardness (Qualitative)
H - Hard
N - Not",Bulk Density (g/ml),Average Particle Size,BET Area (m2/g),Micropore Volume (cm3/g),Mesopore Volume (cm3/g),Pore Volume (cm3/g),Total volume (ml),EtOH vol/vol%,Molar Concentration of Metal (M),Molar Concentration of Citric Acid (M),Molar Concentration of KOH (M),Ration of Metal to CA,Ratio of Zn to KOH,Ratio of CA to KOH
1,42,Zn,0,0.76825,0.735,0.585,9,9,4,Y,Clear,H,1.8681,52,651,0.2349,0,0.2349,18,50%,0.194444444,0.212562901,0.57921939,0.914761905,0.335700855,0.366981674
2,42,Zn,0,0.5122,0.49,0.39,8,6,4,Y,Clear,H,,,,,,0,14,43%,0.166677514,0.182196773,0.496473763,0.91482144,0.335722703,0.366981674
3,42,Zn,0,0.76825,0.735,0.585,15,3,4,Y,Cloudy,H,1.5723,332,810,0.2937,0.2055,0.4992,18,17%,0.194444444,0.212562901,0.57921939,0.914761905,0.335700855,0.366981674
4,51,Zn,0,0.76825,0.735,0.585,15,3,6,Y,Cloudy,H,,,,,,0,18,17%,0.194444444,0.212562901,0.57921939,0.914761905,0.335700855,0.366981674
5,43,Zn,0,0.5122,0.49,0.39,15,3,4,N,Cloudy,N,,,,,,0,18,17%,0.129638066,0.141708601,0.38614626,0.91482144,0.335722703,0.366981674
6,43,Zn,0,0.76825,0.735,0.585,6,3,4,Y,Clear,H,2.082,,,,,0,9,33%,0.388888889,0.425125803,1.158438781,0.914761905,0.335700855,0.366981674
7,43,Zn,0,0.76825,0.735,0.585,18,0,4,N,Cloudy,N,,,,,,0,18,0%,0.194444444,0.212562901,0.57921939,0.914761905,0.335700855,0.366981674
8,43,Zn,0,0.5122,0.49,0.39,9,3,4,Y,Cloudy,H,1.6355,298,779,0.2813,0.1576,0.4389,12,25%,0.194457099,0.212562901,0.57921939,0.91482144,0.335722703,0.366981674
9,49,Zn,0,0.5122,0.49,0.39,9,3,6,Y,Cloudy,H,,,,,,0,12,25%,0.194457099,0.212562901,0.57921939,0.91482144,0.335722703,0.366981674
10,49,Zn,0,0.5122,0.49,0.39,8,6,17,Y,Clear,H,,,,,,0,14,43%,0.166677514,0.182196773,0.496473763,0.91482144,0.335722703,0.366981674
11,49,Zn,0,0.76825,0.735,0.585,12,6,24,Y,Cloudy,H,1.8627,118,632,0.2504,0.0464,0.2968,18,33%,0.194444444,0.212562901,0.57921939,0.914761905,0.335700855,0.366981674
12,Slide,Zn,0,0.76825,0.735,0.585,3,9,4,Y,Clear,H,1.9619,52.9,685,0.247,0,0.247,12,75%,0.291666667,0.318844352,0.868829086,0.914761905,0.335700855,0.366981674
13,50,Zn,0,0.5122,0.49,0.39,9,3,17,Y,Cloudy,H,,,,,,0,12,25%,0.194457099,0.212562901,0.57921939,0.91482144,0.335722703,0.366981674
14,50,Zn,0,0.5122,0.49,0.39,9,3,23,Y,Cloudy,H,,,,,,0,12,25%,0.194457099,0.212562901,0.57921939,0.91482144,0.335722703,0.366981674
15,50,Zn,0,0.5122,0.49,0.39,9,3,24,Y,Cloudy,H,,,,,,0,12,25%,0.194457099,0.212562901,0.57921939,0.91482144,0.335722703,0.366981674
16,50,Zn,0,0.3414,0.3267,0.26,9,3,4,Y,Cloudy,H,,,,,,0,12,25%,0.129612756,0.141723061,0.38614626,0.914549513,0.335657158,0.367019121
17,50,Zn,0,0.5122,0.49,0.39,9,9,4,Y,Cloudy,H,,,,,,0,18,50%,0.129638066,0.141708601,0.38614626,0.91482144,0.335722703,0.366981674
18,50,Zn,0,0.5122,0.49,0.39,6,3,4,Y,Clear,H,,,,,,0,9,33%,0.259276133,0.283417202,0.772292521,0.91482144,0.335722703,0.366981674
19,50,Zn,0,0.5122,0.49,0.39,9,5,4,Y,Cloudy,H,,,,,,0,14,36%,0.166677514,0.182196773,0.496473763,0.91482144,0.335722703,0.366981674
20,51,Zn,0,0.76825,0.735,0.585,9,3,4,Y,Cloudy,H,,,462,,,0,12,25%,0.291666667,0.318844352,0.868829086,0.914761905,0.335700855,0.366981674
21,50,Co,0.8715,0,0.735,0.585,9,9,4,N,Cloudy,N,,,,,,0,18,50%,0.194381992,0.212562901,0.57921939,0.9144681,0.335593034,0.366981674
22,50,Co,0.581,0,0.49,0.39,8,6,4,N,Cloudy,N,,,,,,0,14,43%,0.166613136,0.182196773,0.496473763,0.9144681,0.335593034,0.366981674
23,50,Co,0.581,0,0.49,0.39,9,3,4,N,Cloudy,N,,,,,,0,12,25%,0.194381992,0.212562901,0.57921939,0.9144681,0.335593034,0.366981674
24,50,Co,0.8715,0,0.735,0.585,15,3,4,N,Cloudy,N,,,,,,0,18,17%,0.194381992,0.212562901,0.57921939,0.9144681,0.335593034,0.366981674
25,50,Co,0.8715,0,0.735,0.585,6,3,4,N,Cloudy,N,,,,,,0,9,33%,0.388763985,0.425125803,1.158438781,0.9144681,0.335593034,0.366981674
